,key,cpu_number,total,user,system,idle,nice,iowait,irq,softirq,steal,guest,guest_nice,iteration&time,time
9,cpu_number,1,13.1,1.5,3.8,86.9,0.0,2.1,0.0,5.6,0.0,0.0,0.0,2:1667130103.415604,1667130103
10,cpu_number,2,13.0,4.7,4.0,87.0,0.0,2.4,0.0,1.9,0.0,0.0,0.0,2:1667130103.415604,1667130103
11,cpu_number,3,23.9,18.6,2.0,76.1,0.0,1.1,0.0,2.2,0.0,0.0,0.0,2:1667130103.415604,1667130103
12,cpu_number,4,36.4,23.4,10.7,63.6,0.0,2.3,0.0,0.0,0.0,0.0,0.0,2:1667130103.415604,1667130103
13,cpu_number,5,4.4,1.7,1.1,95.6,0.0,1.3,0.0,0.2,0.0,0.0,0.0,2:1667130103.415604,1667130103
14,cpu_number,6,12.9,4.8,7.3,87.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,2:1667130103.415604,1667130103
15,cpu_number,7,4.2,1.0,3.1,95.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2:1667130103.415604,1667130103
16,cpu_number,0,24.9,4.4,8.5,75.1,0.0,1.3,0.0,10.6,0.0,0.0,0.0,3:1667130123.6794968,1667130123
17,cpu_number,1,14.8,1.1,4.0,85.2,0.0,1.3,0.0,8.4,0.0,0.0,0.0,3:1667130123.6794968,1667130123
18,cpu_number,2,17.6,4.5,9.1,82.4,0.0,3.1,0.0,0.9,0.0,0.0,0.0,3:1667130123.6794968,1667130123
19,cpu_number,3,12.7,4.8,7.1,87.3,0.0,0.1,0.0,0.7,0.0,0.0,0.0,3:1667130123.6794968,1667130123
20,cpu_number,4,23.5,9.9,10.9,76.5,0.0,2.6,0.0,0.1,0.0,0.0,0.0,3:1667130123.6794968,1667130123
21,cpu_number,5,5.6,2.0,2.7,94.4,0.0,0.7,0.0,0.2,0.0,0.0,0.0,3:1667130123.6794968,1667130123
22,cpu_number,6,18.0,12.4,5.1,82.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3:1667130123.6794968,1667130123
23,cpu_number,7,9.2,6.2,2.9,90.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667130123.6794968,1667130123
0,cpu_number,0,25.2,8.4,5.9,74.8,0.0,3.4,0.0,7.4,0.0,0.0,0.0,1:1667130143.9849832,1667130143
1,cpu_number,1,7.5,0.4,1.8,92.5,0.0,0.6,0.0,4.7,0.0,0.0,0.0,1:1667130143.9849832,1667130143
2,cpu_number,2,24.9,16.2,6.3,75.1,0.0,2.0,0.0,0.4,0.0,0.0,0.0,1:1667130143.9849832,1667130143
3,cpu_number,3,6.7,3.1,1.9,93.3,0.0,1.2,0.0,0.5,0.0,0.0,0.0,1:1667130143.9849832,1667130143
4,cpu_number,4,23.8,8.9,11.8,76.2,0.0,3.1,0.0,0.0,0.0,0.0,0.0,1:1667130143.9849832,1667130143
5,cpu_number,5,10.6,3.1,5.7,89.4,0.0,1.6,0.0,0.1,0.0,0.0,0.0,1:1667130143.9849832,1667130143
6,cpu_number,6,14.2,6.1,6.9,85.8,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1:1667130143.9849832,1667130143
7,cpu_number,7,8.5,5.2,3.1,91.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1:1667130143.9849832,1667130143
8,cpu_number,0,30.9,12.6,8.9,69.1,0.0,1.7,0.0,7.6,0.0,0.0,0.0,2:1667130164.3182585,1667130164
9,cpu_number,1,12.1,2.0,4.0,87.9,0.0,1.3,0.0,4.9,0.0,0.0,0.0,2:1667130164.3182585,1667130164
10,cpu_number,2,19.3,10.7,5.0,80.7,0.0,2.2,0.0,1.4,0.0,0.0,0.0,2:1667130164.3182585,1667130164
11,cpu_number,3,6.2,2.1,2.0,93.8,0.0,1.3,0.0,0.8,0.0,0.0,0.0,2:1667130164.3182585,1667130164
12,cpu_number,4,16.5,5.2,9.6,83.5,0.0,1.5,0.0,0.2,0.0,0.0,0.0,2:1667130164.3182585,1667130164
13,cpu_number,5,2.2,0.8,1.3,97.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2:1667130164.3182585,1667130164
14,cpu_number,6,29.5,12.6,16.2,70.5,0.0,0.7,0.0,0.0,0.0,0.0,0.0,2:1667130164.3182585,1667130164
15,cpu_number,7,13.6,2.4,11.1,86.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667130164.3182585,1667130164
16,cpu_number,0,24.4,3.5,5.0,75.6,0.0,1.1,0.0,14.8,0.0,0.0,0.0,3:1667130184.7389553,1667130184
17,cpu_number,1,11.7,2.2,5.4,88.3,0.0,1.3,0.0,2.8,0.0,0.0,0.0,3:1667130184.7389553,1667130184
18,cpu_number,2,37.2,29.6,5.9,62.8,0.0,1.2,0.0,0.5,0.0,0.0,0.0,3:1667130184.7389553,1667130184
19,cpu_number,3,6.6,4.7,1.3,93.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3:1667130184.7389553,1667130184
20,cpu_number,4,22.3,13.6,7.2,77.7,0.0,1.6,0.0,0.0,0.0,0.0,0.0,3:1667130184.7389553,1667130184
21,cpu_number,5,2.4,0.8,1.4,97.6,0.0,0.1,0.0,0.1,0.0,0.0,0.0,3:1667130184.7389553,1667130184
22,cpu_number,6,8.9,3.1,5.0,91.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,3:1667130184.7389553,1667130184
23,cpu_number,7,4.5,3.3,1.2,95.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667130184.7389553,1667130184
0,cpu_number,0,23.3,5.7,6.3,76.7,0.0,1.6,0.0,9.6,0.0,0.0,0.0,1:1667130205.0638394,1667130205
